Team,xG,xGA,xG,xGA,xGD,xGD/90
Liverpool,84.07+4.07,33.00+1.00,84.0,33.0,51,1.50
Arsenal,65.76+2.76,32.97+3.97,65.7,32.9,32.8,0.96
Newcastle United,64.77-0.23,50.41+6.41,64.7,50.4,14.3,0.42
Manchester City,66.62+0.62,48.96+5.96,66.6,48.9,17.7,0.52
Chelsea,66.35+7.35,49.25+9.25,66.3,49.2,17.1,0.50
Nottingham Forest,45.95-7.05,48.67+9.67,45.9,48.6,-2.7,-0.08
Aston Villa,61.95+7.95,49.79+0.79,61.9,49.7,12.2,0.36
Fulham,52.26+2.26,41.73-4.27,52.2,41.7,10.5,0.31
Brighton,57.88+1.88,51.83-3.17,57.8,51.8,6,0.18
Bournemouth,66.49+13.49,49.06+8.06,66.4,49.0,17.4,0.51
Brentford,56.29+0.29,55.62+5.62,56.2,55.6,0.6,0.02
Crystal Palace,58.36+15.36,54.09+7.09,58.3,54.0,4.3,0.13
Wolverhampton Wanderers,41.48-9.52,55.64-5.36,41.4,55.6,-14.2,-0.42
Manchester United,50.16+11.16,53.35+6.35,50.1,53.3,-3.2,-0.09
Everton,40.98+6.98,49.10+8.10,40.9,49.1,-8.2,-0.24
Tottenham,61.33-0.67,58.29+2.29,61.3,58.2,3.1,0.09
West Ham,45.46+6.46,61.89+3.89,45.4,61.8,-16.4,-0.48
Ipswich,36.30+3.30,79.85+5.85,36.3,79.8,-43.5,-1.28
Leicester,34.28+7.28,79.47+3.47,34.2,79.4,-45.2,-1.33
Southampton,36.30+11.30,90.07+10.07,36.3,90.0,-53.7,-1.58
Manchester City,89.55-6.45,37.27+3.27,89.5,37.2,52.3,1.38
Arsenal,84.39-6.61,31.78+2.78,84.3,31.7,52.6,1.38
Liverpool,94.79+8.79,47.40+6.40,94.7,47.4,47.3,1.24
Aston Villa,67.42-8.58,65.08+4.08,67.4,65.0,2.4,0.06
Tottenham,73.35-0.65,68.07+7.07,73.3,68.0,5.3,0.14
Chelsea,80.88+3.88,62.60-0.40,80.8,62.6,18.2,0.48
Newcastle United,84.48-0.52,62.46+0.46,84.4,62.4,22,0.58
Manchester United,60.33+3.33,74.76+16.76,60.3,74.7,-14.4,-0.38
West Ham,54.53-5.47,77.91+3.91,54.5,77.9,-23.4,-0.62
Crystal Palace,53.94-3.06,57.99-0.01,53.9,57.9,-4,-0.11
Brighton,61.91+6.91,60.94-1.06,61.9,60.9,1,0.03
Everton,60.75+20.75,60.26+9.26,60.7,60.2,0.5,0.01
Bournemouth,63.76+9.76,65.51-1.49,63.7,65.5,-1.8,-0.05
Fulham,52.81-2.19,66.90+5.90,52.8,66.9,-14.1,-0.37
Wolverhampton Wanderers,50.65+0.65,76.11+11.11,50.6,76.1,-25.5,-0.67
Brentford,64.29+8.29,60.26-4.74,64.2,60.2,4,0.11
Nottingham Forest,52.16+3.16,56.25-10.75,52.1,56.2,-4.1,-0.11
Luton,49.87-2.13,91.65+6.65,49.8,91.6,-41.8,-1.10
Burnley,43.44+2.44,75.72-2.28,43.4,75.7,-32.3,-0.85
Sheffield United,41.31+6.31,85.71-18.29,41.3,85.7,-44.4,-1.17
Manchester City,84.32-9.68,34.21+1.21,84.3,34.2,50.1,1.32
Arsenal,76.51-11.49,45.16+2.16,76.5,45.1,31.4,0.83
Manchester United,71.90+13.90,50.29+7.29,71.9,50.2,21.7,0.57
