season,Squad,MP,W,D,L,GF,GA,GD,Pts
2024-2025,Liverpool,38,25,9,4,86,41,45,84
2024-2025,Arsenal,38,20,14,4,69,34,35,74
2024-2025,Manchester City,38,21,8,9,72,44,28,71
2024-2025,Chelsea,38,20,9,9,64,43,21,69
2024-2025,Newcastle,38,20,6,12,68,47,21,66
2024-2025,Aston Villa,38,19,9,10,58,51,7,66
2024-2025,Nottingham Forest,38,19,8,11,58,46,12,65
2024-2025,Brighton,38,16,13,9,66,59,7,61
2024-2025,Bournemouth,38,15,11,12,58,46,12,56
2024-2025,Brentford,38,16,8,14,66,57,9,56
2024-2025,Fulham,38,15,9,14,54,54,0,54
2024-2025,Crystal Palace,38,13,14,11,51,51,0,53
2024-2025,Everton,38,11,15,12,42,44,-2,48
2024-2025,West Ham,38,11,10,17,46,62,-16,43
2024-2025,Manchester United,38,11,9,18,44,54,-10,42
2024-2025,Wolverhampton,38,12,6,20,54,69,-15,42
2024-2025,Tottenham,38,11,5,22,64,65,-1,38
2024-2025,Leicester,38,6,7,25,33,80,-47,25
2024-2025,Ipswich Town,38,4,10,24,36,82,-46,22
2024-2025,Southampton,38,2,6,30,26,86,-60,12
2023-2024,Manchester City,38,28,7,3,96,34,62,91
2023-2024,Arsenal,38,28,5,5,91,29,62,89
2023-2024,Liverpool,38,24,10,4,86,41,45,82
2023-2024,Aston Villa,38,20,8,10,76,61,15,68
2023-2024,Tottenham,38,20,6,12,74,61,13,66
2023-2024,Chelsea,38,18,9,11,77,63,14,63
2023-2024,Newcastle,38,18,6,14,85,62,23,60
2018-2019,Cardiff,38,10,4,24,34,69,-35,34
2023-2024,West Ham,38,14,10,14,60,74,-14,52
2023-2024,Crystal Palace,38,13,10,15,57,58,-1,49
2023-2024,Brighton,38,12,12,14,55,62,-7,48
2023-2024,Bournemouth,38,13,9,16,54,67,-13,48
2023-2024,Fulham,38,13,8,17,55,61,-6,47
2013-2014,Cardiff,38,7,9,22,32,74,-42,30
2023-2024,Everton,38,13,9,16,40,51,-11,40
2023-2024,Brentford,38,10,9,19,56,65,-9,39
2023-2024,Nottingham Forest,38,9,9,20,49,67,-18,32
2023-2024,Luton Town,38,6,8,24,52,85,-33,26
2023-2024,Burnley,38,5,9,24,41,78,-37,24
2023-2024,Sheffield United,38,3,7,28,35,104,-69,16
2022-2023,Manchester City,38,28,5,5,94,33,61,89
2022-2023,Arsenal,38,26,6,6,88,43,45,84
2021-2022,Leeds,38,9,11,18,42,79,-37,38
2020-2021,Leeds,38,18,5,15,62,54,8,59
2022-2023,Liverpool,38,19,10,9,75,47,28,67
2022-2023,Brighton,38,18,8,12,72,53,19,62
2022-2023,Aston Villa,38,18,7,13,51,46,5,61
2022-2023,Tottenham,38,18,6,14,70,63,7,60
2022-2023,Brentford,38,15,14,9,58,46,12,59
2022-2023,Fulham,38,15,7,16,55,53,2,52
2022-2023,Crystal Palace,38,11,12,15,40,49,-9,45
2022-2023,Chelsea,38,11,11,16,38,47,-9,44
2022-2023,Leicester,38,9,7,22,51,68,-17,34
2022-2023,West Ham,38,11,7,20,42,55,-13,40
2022-2023,Bournemouth,38,11,6,21,37,71,-34,39
2022-2023,Nottingham Forest,38,9,11,18,38,68,-30,38
2022-2023,Everton,38,8,12,18,34,57,-23,36
2021-2022,Leicester,38,14,10,14,62,59,3,52
2022-2023,Leeds,38,7,10,21,48,78,-30,31
2022-2023,Southampton,38,6,7,25,36,73,-37,25
2021-2022,Manchester City,38,29,6,3,99,26,73,93
2021-2022,Liverpool,38,28,8,2,94,26,68,92
